readout,metric,method,shortlist_size,comparator,comparator_budget,target_domain,paired_loss_difference
logistic,error_rate,target_a,100,random,227,clipart,-0.009301757812499999
logistic,error_rate,target_a,100,random,227,infograph,-0.0014984130859374972
logistic,error_rate,target_a,100,random,227,painting,-0.005636596679687508
logistic,error_rate,target_a,100,random,227,quickdraw,-0.0006195068359375056
logistic,error_rate,target_a,100,random,227,real,-0.009909057617187494
logistic,error_rate,target_a,100,random,227,sketch,-0.005764770507812503
logistic,error_rate,target_a,227,exhaustive,455,clipart,0.0
logistic,error_rate,target_a,227,exhaustive,455,infograph,0.0
logistic,error_rate,target_a,227,exhaustive,455,painting,0.0
logistic,error_rate,target_a,227,exhaustive,455,quickdraw,-0.00140380859375
logistic,error_rate,target_a,227,exhaustive,455,real,0.0
logistic,error_rate,target_a,227,exhaustive,455,sketch,0.0
logistic,error_rate,target_a,227,random,227,clipart,-0.009301757812499999
logistic,error_rate,target_a,227,random,227,infograph,-0.0014984130859374972
logistic,error_rate,target_a,227,random,227,painting,-0.005636596679687508
logistic,error_rate,target_a,227,random,227,quickdraw,-0.0020233154296875056
logistic,error_rate,target_a,227,random,227,real,-0.009909057617187494
logistic,error_rate,target_a,227,random,227,sketch,-0.0035675048828125028
logistic,nll,second_moment_mmd,10,exhaustive,455,clipart,0.059463329503318785
logistic,nll,second_moment_mmd,10,exhaustive,455,infograph,0.06325105843402762
logistic,nll,second_moment_mmd,10,exhaustive,455,painting,0.018350524011305158
logistic,nll,second_moment_mmd,10,exhaustive,455,quickdraw,0.01781779199725375
logistic,nll,second_moment_mmd,10,exhaustive,455,real,0.0
logistic,nll,second_moment_mmd,10,exhaustive,455,sketch,0.01955021576304905
logistic,nll,second_moment_mmd,10,random,10,clipart,-0.15737822513170147
logistic,nll,second_moment_mmd,10,random,10,infograph,-0.041626448391592574
logistic,nll,second_moment_mmd,10,random,10,painting,-0.2236965196438675
logistic,nll,second_moment_mmd,10,random,10,quickdraw,-0.04703835326701755
logistic,nll,second_moment_mmd,10,random,10,real,-0.19092936229080787
logistic,nll,second_moment_mmd,10,random,10,sketch,-0.08949367287717575
logistic,nll,second_moment_mmd,10,random,227,clipart,0.04312252677098155
logistic,nll,second_moment_mmd,10,random,227,infograph,0.054815621123654235
logistic,nll,second_moment_mmd,10,random,227,painting,0.010056893952717971
logistic,nll,second_moment_mmd,10,random,227,quickdraw,0.006890763666726141
logistic,nll,second_moment_mmd,10,random,227,real,-0.017700742097277955
logistic,nll,second_moment_mmd,10,random,227,sketch,0.019488481482228148
logistic,nll,second_moment_mmd,25,exhaustive,455,clipart,0.015680348838082836
logistic,nll,second_moment_mmd,25,exhaustive,455,infograph,0.03476743211406286
logistic,nll,second_moment_mmd,25,exhaustive,455,painting,-0.0014896393702338306
logistic,nll,second_moment_mmd,25,exhaustive,455,quickdraw,0.007207356556853006
logistic,nll,second_moment_mmd,25,exhaustive,455,real,0.0
logistic,nll,second_moment_mmd,25,exhaustive,455,sketch,0.005081829672938354
logistic,nll,second_moment_mmd,25,random,25,clipart,-0.12359050081036477
logistic,nll,second_moment_mmd,25,random,25,infograph,-0.022883428571379927
logistic,nll,second_moment_mmd,25,random,25,painting,-0.1099550648964226
logistic,nll,second_moment_mmd,25,random,25,quickdraw,-0.04027773640576138
logistic,nll,second_moment_mmd,25,random,25,real,-0.12779262278445952
logistic,nll,second_moment_mmd,25,random,25,sketch,-0.060531810437171596
logistic,nll,second_moment_mmd,25,random,227,clipart,-0.000660453894254398
logistic,nll,second_moment_mmd,25,random,227,infograph,0.026331994803689474
logistic,nll,second_moment_mmd,25,random,227,painting,-0.009783269428821018
logistic,nll,second_moment_mmd,25,random,227,quickdraw,-0.0037196717736746043
logistic,nll,second_moment_mmd,25,random,227,real,-0.017700742097277955
logistic,nll,second_moment_mmd,25,random,227,sketch,0.005020095392117452
logistic,nll,second_moment_mmd,50,exhaustive,455,clipart,0.004222701696435571
logistic,nll,second_moment_mmd,50,exhaustive,455,infograph,0.008730360434430484
logistic,nll,second_moment_mmd,50,exhaustive,455,painting,-0.0014896393702338306
logistic,nll,second_moment_mmd,50,exhaustive,455,quickdraw,0.002609063945595458
logistic,nll,second_moment_mmd,50,exhaustive,455,real,0.0
logistic,nll,second_moment_mmd,50,exhaustive,455,sketch,-0.0018065286111665912
logistic,nll,second_moment_mmd,50,random,50,clipart,-0.08763464328525183
logistic,nll,second_moment_mmd,50,random,50,infograph,-0.027746496839264112
logistic,nll,second_moment_mmd,50,random,50,painting,-0.06091844631997562
